ResponseId,Finished,Survey,Statistical_Organization,condition,Dance_Experience_Scores,Martial_Arts_Experience_Scores,Outdoor_Experience_Scores,Sports_Experience_Scores,Experience_Total,T-1_Recognition,T-1_Likert,T-2_Recognition,T-2_Likert,T-3_Recognition,T-3_Likert,T-4_Recognition,T-4_Likert,UT-1_Recognition,UT-1_Likert,UT-2_Recognition,UT-2_Likert,UT-3_Recognition,UT-3_Likert,UT-4_Recognition,UT-4_Likert,Familiar_Scores,Unfamiliar_Scores,Correct_Trigram_Scores,Familiar_Likert,Unfamiliar_Likert,Total_Likert,T-1c_Likert,Correct_Mvt_T-1,T-2c_Likert,Correct_Mvt_T-2,T-3c_Likert,Correct_Mvt_T-3,T-4c_Likert,Correct_Mvt_T-4,Correct_Mvt_Scores,Mvt_Likert
R_3r0UScEoISswx1u,1,RS-3,0,control,0,0,18,51,69,0,6,0,5,1,4,0,5,1,3,0,3,0,3,0,3,1,1,2,20,12,32,6,2,5,1,6,3,4,1,7,21
R_1pGvCqnx5M2GLyT,1,RS-3,0,action,30,10,0,4,44,0,3,1,4,0,5,1,4,1,3,1,2,0,3,0,2,2,2,4,16,10,26,2,1,1,2,4,1,3,2,6,10
R_3kjiJ0cYAtlKVsd,1,RS-3,0,stationary,4,0,0,9,13,0,4,0,3,0,3,1,3,0,1,1,2,0,2,0,3,1,1,2,13,8,21,4,2,2,2,3,1,5,2,7,14
R_3il2hAL3YJMRHuj,1,RS-3,0,control,0,2,15,12,29,1,2,0,4,1,2,1,6,1,1,1,3,0,2,0,2,3,2,5,14,8,22,5,2,3,1,2,1,5,2,6,15
R_Y0lC2bURNKQ3rsl,1,RS-3,0,action,6,4,4,7,21,1,5,0,6,1,3,0,5,1,4,0,4,0,5,1,5,2,2,4,19,18,37,4,1,4,2,4,2,3,1,6,15
R_3KSFfa1fuAM35Uq,1,RS-3,0,control,0,0,1,2,3,0,5,0,5,1,5,1,5,0,5,1,5,0,6,1,5,2,2,4,20,21,41,6,2,5,2,6,1,5,1,6,22
R_22YeesBACbP17Xl,1,RS-3,0,action,0,0,0,3.5,3.5,1,1,0,5,1,2,1,3,0,2,0,5,0,2,1,1,3,1,4,11,10,21,2,2,1,1,3,2,1,2,7,7
R_xDBozmNIJhLwDMB,1,RS-3,0,stationary,0,0,0,41,41,1,5,0,4,1,3,1,5,1,4,1,3,0,5,0,4,3,2,5,17,16,33,5,2,3,2,4,2,4,2,8,16
R_9Z6V2jy8zanjCet,1,RS-3,0,stationary,9,0,14,26,49,1,1,0,3,0,2,1,1,1,1,1,2,0,2,1,2,2,3,5,7,7,14,1,1,1,1,2,2,1,3,7,5
R_2t4NJLn62bkRrJR,1,RS-3,0,action,8,6,0,30,44,1,5,0,3,1,3,0,5,1,3,1,5,0,6,0,3,2,2,4,16,17,33,3,1,3,1,5,2,5,1,5,16
R_7OMvDnLUYAXcJ3P,1,RS-3,0,control,0,0,2,22,24,0,3,0,6,0,5,1,1,0,2,1,2,0,4,1,1,1,2,3,15,9,24,4,1,3,2,2,2,5,2,7,14
R_1FtCHinZ1VmGctM,1,SLS-1,1,control,93,6,0,0,99,1,3,0,1,0,1,1,2,1,3,1,1,1,5,0,2,2,3,5,7,11,18,3,2,2,2,2,1,2,1,6,9
R_2dFMY5BGCSKCEQ3,1,SLS-1,1,control,0,0,12,12,24,1,7,1,7,1,7,1,7,1,7,1,7,1,7,1,7,4,4,8,28,28,56,7,2,7,2,7,1,7,2,7,28
R_1gToA5dwcVrB0oE,1,SLS-1,1,stationary,0,0,14,17,31,1,2,1,5,0,2,1,5,1,6,1,5,1,7,1,6,3,4,7,14,24,38,5,1,3,1,3,1,2,1,4,13
R_2P86vYRWi4fyQnu,1,SLS-1,1,action,4,1,12,4,21,1,3,0,5,1,5,0,3,1,6,0,5,1,6,0,7,2,2,4,16,24,40,6,2,5,1,3,2,5,0,5,19
R_1E5Li6MeMODL34o,1,SLS-2,1,stationary,2,0.5,7,14.5,24,0,5,1,6,1,4,0,2,0,3,1,3,1,4,1,7,2,3,5,17,17,34,3,1,3,2,3,2,3,0,5,12
R_qXb6kFYFabudYuB,1,SLS-2,1,stationary,24,11,14,17,66,1,2,1,5,1,2,1,6,1,2,1,7,0,5,1,3,4,3,7,15,17,32,3,2,3,0,2,1,5,2,5,13
R_2txU80tqpU5oWDK,1,SLS-2,1,stationary,0,2,2,22,26,0,4,1,7,0,5,1,5,1,7,1,5,1,2,1,6,2,4,6,21,20,41,2,1,6,2,5,2,4,2,7,17
R_2D040LrzDnjnxX5,1,SLS-2,1,action,0,0,0,46,46,1,6,0,5,0,6,1,5,0,5,0,6,1,5,0,3,2,1,3,22,19,41,6,2,3,2,2,2,5,1,7,16
R_1hKD8bqt0U4mqUT,1,SLS-3,1,action,0,6,20,30,56,1,7,0,3,1,4,0,5,1,3,1,4,0,5,1,5,2,3,5,19,17,36,5,1,3,1,3,1,3,0,3,14
R_3gMjj5c4HnDNeVL,1,SLS-3,1,action,0,0,3,0,3,1,5,1,1,1,2,1,3,0,3,1,3,1,2,1,4,4,3,7,11,12,23,4,2,4,2,4,2,4,2,8,16
R_2w62m0QjvI58rMO,1,SLS-3,1,control,2,0,11,36,49,0,2,0,2,1,2,1,2,0,2,1,1,1,2,1,2,2,3,5,8,7,15,2,2,3,1,3,2,4,2,7,12
R_7TGS1WSDK2gtkWZ,1,SLS-3,1,stationary,3,0,0,6,9,1,3,1,3,0,1,1,2,1,1,1,1,1,1,0,3,3,3,6,9,6,15,1,2,1,1,1,1,7,2,6,10
R_w1tERrKrnr23GIV,1,SLS-3,1,action,0,0,0,0,0,1,3,0,3,1,5,1,5,1,6,1,6,1,6,0,3,3,3,6,16,21,37,6,2,5,1,6,2,3,0,5,20
R_yBJcWiGUlZbxLuF,1,SLS-1,1,control,0,0,0,0,0,1,5,1,5,0,5,0,6,0,5,1,3,0,7,1,5,2,2,4,21,20,41,5,2,5,2,5,1,5,1,6,20
R_a9MSRxNGf5PoAdH,1,SLS-1,1,action,0,0,0,14,14,0,6,0,3,1,5,1,6,0,6,0,4,1,7,1,6,2,2,4,20,23,43,6,0,4,1,3,1,4,2,4,17
R_1qahVm0PTQfV030,1,SLS-1,1,action,0,0,1,0,1,1,6,0,5,0,3,0,3,1,5,0,6,1,7,0,2,1,2,3,17,20,37,5,1,1,1,2,1,5,0,3,13
R_OjIL607w1KL8NLr,1,SLS-2,1,action,0,0,25,15,40,0,4,0,2,1,5,1,5,1,6,1,6,0,3,1,5,2,3,5,16,20,36,3,1,3,1,1,2,2,2,6,9
R_3oZSjHLM9sTWMCS,1,SLS-2,1,action,0,0,0,1,1,1,4,0,6,0,3,1,5,1,4,0,5,0,4,1,5,2,2,4,18,18,36,5,2,3,1,4,2,5,2,7,17
R_BzgpyhFK6vCMUgN,1,SLS-3,1,stationary,0,0,12,38,50,1,5,0,7,0,6,0,6,0,7,0,3,1,5,0,5,1,1,2,24,20,44,6,0,6,2,3,1,5,2,5,20
R_3qebFBcGGEKvIJ7,1,SLS-3,1,stationary,0,0,0,0,0,1,6,0,5,1,4,0,3,1,1,1,6,1,1,1,3,2,4,6,18,11,29,6,2,5,2,3,2,5,2,8,19
R_31GhOM0K5ZZiIOU,1,SLS-3,1,control,0,0,0,0,0,1,7,1,4,0,2,0,4,1,6,1,3,0,3,0,6,2,2,4,17,18,35,1,1,3,2,4,1,5,2,6,13
R_2gaGSLsPzgCfoRj,1,SLS-3,1,stationary,0,0,0,0,0,0,2,0,7,0,4,1,5,0,3,1,5,1,6,0,3,1,2,3,18,17,35,3,1,3,2,5,2,5,2,7,16
R_2QhqaYt61VHa0fl,1,SLS-1,1,control,0,1,5,12,18,1,4,1,5,1,5,0,3,0,3,1,5,1,3,0,3,3,2,5,17,14,31,5,2,4,2,4,1,3,1,6,16
R_yxNdeK7WQ6p9PcR,1,SLS-1,1,control,0,2,2,3,7,0,5,1,7,1,4,0,5,1,7,0,4,1,7,1,6,2,3,5,21,24,45,4,2,6,2,5,1,4,1,6,19
R_2rkjwQWCsVwRGuY,1,SLS-1,1,stationary,0,0,0,0,0,1,7,1,7,1,5,0,5,1,7,1,7,1,7,1,3,3,4,7,24,24,48,7,2,5,2,5,2,5,1,7,22
R_1MSNeuaT5ao9PaC,1,SLS-1,1,control,4,0,0,3,7,1,2,1,2,1,5,0,3,1,5,1,5,0,3,0,3,3,2,5,12,16,28,3,2,3,1,3,2,5,1,6,14
R_5bxYVYjgXHvZtzr,1,SLS-1,1,control,9,0,0,0,9,1,4,0,5,1,2,1,3,1,2,1,3,1,6,0,6,3,3,6,14,17,31,5,0,5,2,3,1,5,0,3,18
R_2Xcyu1k8au3IJne,1,SLS-2,1,stationary,0,0,0,0,0,1,3,0,2,1,2,1,3,1,2,1,3,0,5,1,1,3,3,6,10,11,21,3,1,2,1,2,1,2,1,4,9
R_22RDcWfUmAZCCbb,1,SLS-2,1,action,2,0,0,14,16,0,4,0,4,0,4,1,3,1,4,1,6,0,4,1,5,1,3,4,15,19,34,4,1,4,0,3,1,4,2,4,15
R_OOSMzJUU74DkL2F,1,SLS-2,1,control,0,0,12,27,39,0,2,1,6,0,3,1,5,0,4,1,5,1,6,0,3,2,2,4,16,18,34,3,1,6,0,3,2,5,2,5,17
